Date,Transaction Details,Debit,Credit
14 Apr '23,"Services India, BANGALORE, IN",230.00,
14 Apr '23,"UBERINDIASYSTEMSPRIVAT, NOIDA, IN",597.47,
12 Apr '23,"Cleartrip, MUMBAI, IN","14,715.00",
06 Apr '23,"GITHUB, INC., HTTPSGITHUB.C, US",715.98,
06 Apr '23,"COMMISSIONER BBMP, BANGALORE, IN","2,589.21",
04 Apr '23,"SWIGGY, Bengaluru, IN",232.00,
31 Mar '23,"SWIGGY, Bengaluru, IN",385.00,
31 Mar '23,"BESCOM BILLDESK, MUMBAI, IN",974.25,
29 Mar '23,"SWIGGY, Bengaluru, IN",302.00,
28 Mar '23,"SWIGGY, BANGALORE, IN",267.00,
28 Mar '23,"APOLLO PHARMACY, BANGALORE, IN",351.20,
